Name,Reactions,Comments,Reposts,Content,Date
Karen W. Smith,"56,946","1,612 comments","12,586 reposts","Black women’s hair is 2.5x more likely to be perceived as unprofessional. Because of this, 2/3 of Black women change their hair for a job interview. The pressure is even higher for young professionals, as nearly half (44%) of Black women under 34 feel pressured to have a headshot with straight hair.Bias and discrimination against natural hairstyles in the workplace remains a systemic problem, with a disproportionate impact on Black women. No one should be denied access to employment opportunities or professional advancement because of their hair. That’s why Dove co-founded the CROWN Coalition to help make race-based hair discrimination illegal through the CROWN Act. We’ve made great progress, but there’s still work to be done.I’m excited to announce that Dove is partnering with LinkedIn–the world’s largest professional network–in support of the CROWN Act, to create more inclusive and equitable spaces for Black hair at work. Dove will continue to drive awareness for the CROWN Act, encourage petition signatures, and advocate for legislation to end hair discrimination nationwide, and together with LinkedIn, take a series of actions to help end race-based hair discrimination in the workplace:Provide free access to 10 LinkedIn Learning courses focused on creating a more equitable work environment, with a goal to educate 1 million hiring managers and professionals by the end of 2023.Illuminate the real and measurable adverse impact hair discrimination continues to have on Black women in the workplace through the CROWN 2023 Workplace Research StudyAmplify the real stories and voices of Black women to help redefine what society deems “professional” for the workplaceTogether, we are reinforcing and celebrating that#BlackHairIsProfessional.Join us in taking action. Head toDove.com/LinkedInto sign the CROWN Act petition, access the free courses, and learn more.Let’s Change Beauty.#BlackHairIsProfessional#TheCROWNAct#PassTheCROWN#RealBeauty#LetsChangeBeauty#UniquelyUnileverLearn More:https://lnkd.in/g6f94uvn",
Infinity Health,5,,,We're at#Rewired23day 2!Elliott EngersPaul RenshawandKim Watsonare there to discuss how Infinity can be used for...- Bleep replacement- Outpatients transformation / PIFU- Virtual wardsAnd all things care coordination and task management in healthcare.Drop us a DM and we look forward to seeing new and old connections!,1 hour ago
Valerie Tibout,1,,,View my verified achievement from IBM.,1 hour ago
Juan José Mateo - Spanish SEO Writer,"1,719",273 comments,52 reposts,"2013: decido irme de España ante la falta de oportunidades. Apenas consigo unas prácticas mal pagadas y sin ningún tipo de beneficio. Hago las maletas y me voy a Argentina.2014: me echan de mi primer trabajo en agencia, no supero el periodo de prueba, es primer trabajo desde que estoy en Buenos Aires (bueno, mi primer trabajo, a secas). Me costó encontrarlo 6 meses.2015: doy el salto a otra agencia, esta vez con un gran cliente (enorme, más bien), pero me pagan una miseria. Paso un año durísimo a nivel económico, aunque aprendo una barbaridad. Me adapto al país, comienzo a hacer amigos.2016: doy el salto a una multinacional, esta vez con un sueldo digno. Me ascienden antes de cumplir el año y me convierto en líder de área. Doy un salto a nivel económico y de responsabilidad. Ya estoy plenamente adaptado.2018: rechazo una gran oferta para ser líder regional de otra multinacional. Decido volver a Europa. Me despido de grandes amigos, es duro. Me voy directo a Escocia. Empiezo en un trabajo random de subtitulado de videojuegos. Me pagan poco y es inestable. Me cuesta encontrar otro trabajo, pero lo logro y termino en otra agencia.2019: el trabajo no es lo que esperaba y me voy de Glasgow. Viajo a España, comienzo en el mundo freelance. Intento montar una agencia con otros profesionales, pero no sale bien.2020: sigo como freelance, pero ahora contratan mis servicios grandes marcas. Lo hago todo a la sombra, sin firmar nada, sin crear mi marca personal.2022: despierto del letargo. Comienzo a desarrollar mi marca, mi método, y empiezo a formar a otras personas con todo lo que he aprendido como copy y como profesional. Consigo el tan ansiado equilibrio dinero-trabajo-tiempo libre.2023: continúo con mi estrategia. Gane, pierda, tenga pereza o haga frío. En 9 meses doblo mi cantidad de seguidores y consigo 2 MM de impresiones. Lanzo mi newsletter y comparto contenido a diario. Sigo aprendiendo, enseñando y conectando. Otros profesionales comienzan a notar los beneficios de mis asesorías.Una verdadera montaña rusa.Pero la vida es esto.Altibajos.Y eso es algo que todos tenemos que pasar, a menos que hayas nacido en cuna de oro, en cuyo caso este post no te va a despertar nada.Pero si no es así, si has tenido que ganarte lo que disfrutas hoy, sabes perfectamente que el camino siempre es complicado.Y si todavía estás en ese camino, este post es un aviso de que vas a tener momentos malos, momentos regulares y momentos buenos.Puedes optar por tirar la toalla ante la primera adversidad.O puedes tomarlo como parte del camino y seguir el consejo de mi camiseta.Te aseguro que si optas por lo segundo, va a valer la pena.Mucho.P.D. Me encantaría conocer tu historia en comentarios. A veces tenemos miedo a contar lo que hemos pasado para llegar dónde estamos, cuando en realidad es lo más inspirador que podemos regalarle a otra persona.#trayectoria#mihistoria",
Ultimate TechnoGraphics Inc.,1,,1 repost,"PAMEX, India's premier printing exhibition, starts on Monday the 27th of March. During thePAMEX EXPOin Mumbai we will be represented by our resellers Basis Systems and Venus Infotech .Don't hesitate to visit their stand#C69, Hall 1,  and request more information or a demonstration of our latest print and finishing workflow solutions: Ultimate Impostrip 2023 and Ultimate Bindery.We are happy to be represented by:Gopal KrishnanandHemanshu Desai. Our very ownJeffrey Protheroe, VP Sales Asia & Pacific, will be at the show as well, so don't hesitate to reach out to him.Read more:https://lnkd.in/ebBrjni3#ultimateimpostrip#pamex#betterpdf#printing#prepress#printingindustry#impostrip#PamexExpo",
Louis Bragg,6,,1 repost,"⏰ Attention all Executive Search professionals! ⏰Are you open to new opportunities in the industry?As the job market continues to evolve, it's important to stay open to potential opportunities that can help you advance your career.Whether you're a seasoned veteran or just starting out, there are always new opportunities to explore.If you're interested in connecting with other professionals in the field, please feel free to reach out to me.Let's connect and explore the possibilities we have here at SW6 Associates!Contact the SW6 Associates Senior Team for more information:Leith MonroBen WatsonJohn BrownConor Hamilton#executivesearch#recruitment#careerdevelopment#opportunity",1 hour ago
The Rockefeller Foundation,19,3 comments,3 reposts,"#BellagioPerspectives| For Darrick Hamilton, democracies should be proactive about detecting discrimination – and not just reacting to it. They should develop structures that audit institutions; be they companies or governments.#EconomicEquity#EquityIsOpportunityhttps://lnkd.in/emkqmBWj",
Stephen Watson,3,,1 repost,The Employment Situation - February 2023 - Everything you need to know.The Employment Situation - February 2023 (bls.gov),1 hour ago
Deyait Watson-Irvine,0,,,Help Xena get to a great dog only family please!! Pledge with me to save her! Thank you for sharing and adopting!,1 hour ago
Deyait Watson-Irvine,0,,,Help Xena get to a great dog only family please!! Pledge with me to save her! Thank you for sharing and adopting!,1 hour ago
Siobhon Watson  Chartered Marketer MCIM,0,,,"I'm excited to be attending The Retail Technology Show | 26-27 April 2023, at Olympia, London.Join me and thousands of industry professionals where you can connect with retail’s change-makers and Europe’s most forward-thinking retailers and leading tech innovators.Get your GOLDEN TICKET FREE here!https://lnkd.in/eVq7FSwW#RTS2023#RetailTech",1 hour ago
PinkHippoLondonPR LTD,0,,1 repost,"#NewClientAward Winning Female Founder & Global Tech Disruptor Paulette Watson (MBA) has been changing the lives of children all around the world with her platform Academy Acheivers; the#BeMeproject focuses on#STEMeducation in the UK & across the global.We will be managing her PR, Social & Media enquiries.Drop us a DM if you'd like to know more.",1 hour ago
University of The Bahamas,18,,5 reposts,"The University of The Bahamas Alumni Association continues its Lunch & Listen series with this month’s speaker, UB Alumna Shervonne Johnson presenting on strategies that work for career and personal resilience on Friday 17 March 2023 beginning at 11:30 a.m.About the speaker:Shervonne Johnson is currently the CEO of Mangrove Advisors Ltd an advisory and consulting firm, Board Consultant to the Water and Sewerage Corporation and Independent Director of ST Global Markets.Her career started in the USA as an auditor with Ernst Young, LLP then with American Express Tax & Business Services and RSM McGladrey Consulting Firm. After eight exciting and heavy travel-filled years in the US, in 2007 Shervonne returned home to the Bahamas to work with Citi Trust Bahamas Ltd. as Country Business & Technical Information Security Officer. She served as a Regulator at the Central Bank of the Bahamas and held the post of Regional Risk Manager at Lombard Odier & Cie (Bahamas) Ltd. Most recently, Ms. Johnson served as Director of Risk and Compliance at the Bahamas Power and Light Company (BPL), the largest public utility in the Bahamas. She is considered extremely well rounded in the areas of accounting, enterprise risk management, cross border and data privacy, IT and information security, regulatory compliance and more.Shervonne is a graduate of Aquinas College High School and Bethune Cookman University with a Bachelor’s degree in Accounting. She is a Certified Information Systems Auditor (CISA) and has a Certification in Information Security Management (CISM). She is a Member of ISACA and the Institute of Internal Audit. She serves as Independent Director on the Board of ST Global Markets and the PACE Foundation. In her college years she was a former Miss College of the Bahamas (now UB); President of UB Inaugural Rotaract Club and past Vice-President of UB Toastmasters Club.Shervonne is a Proud Rotarian of the Rotary Club of East Nassau and currently serves as 3rd VP with responsibility for Club Administration. During the pandemic, she organized a community-based organization Killarney Kares that helped to deliver groceries, pay utilities, find work, provide spiritual and emotional support and more to persons displaced both by Dorian and the pandemic.  In 2018 she was honored to be selected as a Bahamas Financial Services Board (BFSB) Mentor of the Year Nominee.A key mantra of Shervonne’s life is “leave every place and everyone better than you met them!”Register for the Zoom session here:https://lnkd.in/eg9KZf2K#UBProud#UBStrong#UBLeadersForLife",
UNCW MSc Finance and Investment Management,1,,,"Welcome back to our new and returningUniversity of North Carolina WilmingtonMSF students as we kick off another term with Fixed Income Investments withBill Sackleyand Financial Statement Analysis withEthan Watson.  Thanks, as well, toMiran Hossainand Claude Courbois, PhD, CFA, who wrapped up Equity Investments and Economics.  The world has been our classroom as a world events unfold.Whether you are a new or returning MSF student, did you know that you have FREE access to:1. The Wall Street Journal2. The New York Times, and3. The Washington Post?You can find them athttps://lnkd.in/gxY7bVNC.https://lnkd.in/euq6NmP",1 hour ago
Stephen Firmes,1,1 comment,,"It’s time to ask us anything about#VeeamBackup for Microsoft 365 v7! 🙌 Join#Veeam’s Edward Watson on Twitter, March 29th for an exclusive#AMA💬 all about the NEW#VeeamBackup for Microsoft 365 v7. Can’t wait? Submit your questions ahead of time here in the comments or on Twitter with#AskVeeam.",1 hour ago
Esther Patrick,4,,1 repost,"Brief thoughts from Health and Wellbeing at Work 2023. Nicholas Wardle, employee experience speaker, says:✅ Analysis of 250 organisations showed that those investing in the employee experience (EX) were FOUR TIMES more profitable.✅ A Willis Towers Watson survey showed strong EX was linked to a 4% growth in revenue.✅ A 2019 study showed strong EX gives back on average 100 hours p/a per employee and manager.What forms EX?✴️ The entire experience between employer (organisation and its stakeholders) including every touchpoint and interaction at every stage of the employee lifecycle.So...❓ Have you mapped out your employee lifecycle journey?❓ If not yet, when?#healthatwork2023#hww2023#employeeengagement#employeeexperience#leadershipKeystone Training Ltd",1 hour ago
Intito Norway,3,,,"«Vi jobber for automatisering fordi vi har flinke ansatte», sier Alasaari. «De er smarte folk. Vi vil at de skal kunne se fremover, i stedet for å bruke tiden på kjedelig, manuelt arbeid som vi kan gjøre automatisk.» Løsningen med Planning Analytics with Watson kan gjøre jobben raskere, billigere og med større presisjon, ifølge Alasaari.Les Vaasas case story:https://lnkd.in/dH8ZcCYa#IBM#PlanningAnalytics#AI#automatization",1 hour ago
RPM Communications,2,,3 reposts,"Attention pharmacists!Did you know that more than 100,000 patients were seen by their high street pharmacist in just one month according to new NHS figures? As demand for pharmacy services continues to increase, effective communication with patients is more important than ever. That's where RPM Communications and our innovative platform, Patient Contact, can help.At RPM Communications, we understand the unique challenges facing pharmacists, and we're committed to providing innovative solutions that make your job easier. Contact us today to learn more about how Patient Contact can help you improve patient communication and engagement, and streamline your administrative tasks.Visit our website athttps://lnkd.in/e6YPmcSZfor more information.#pharmacy#healthcare#communication#patients#RPMSolutions#PatientContact",
Julie Watson,0,,,TeslaandRivianwill now have new restrictions to sell their vehicles in Mississippi.  These manufacturers now have to change the way they sell vehicles in the state of Mississippi. Gov. Tate Reeves signed a bill Tuesday restricting electric car manufacturers from selling vehicles in person unless they open franchised dealerships. This bill has caused great debate.#legislation#ev#cardealerships#motorlease#whateverittakes,1 hour ago
Kaye Southam,10,1 comment,6 reposts,"Hi folks, I’m looking for a new contract from April.If you know anyone looking for a Content Designer (services, guidance, all the good stuff), do let me know!#contentdesign#content",
Kennesaw State University Norman J. Radow College of Humanities and Social Sciences,8,,8 reposts,"Don’t miss this inspirational and motivational panel featuring professional women from the competitive fields of sports, marketing, and entertainment. They will share the career moves that have made them so successful! Join featured speaker and WNBA star, Angel McCoughtry, with panelists: Catherine Brewton VP, BMI, Creative, Head of Hip Hop, R&B, and Gospel; Robyn Watson VP, Communications, Gannett; Theresa Wenzel COO, CORE4 and former WNBA team president; and Dina Marto, a seasoned entrepreneur and Founder of C&D The Agency.A Professionals with Purpose event hosted by the Norman J. Radow College of Humanities and Social Sciences, we invite you to celebrate Women’s History Month by joining us for this panel of amazing women.#KSURCHSS#KSUEvents#WomensMonth",
Simon Watson,0,,,I have been watching this chap a lot of late. He makes some absolutely amazing points worth consideration.He is Jordan B. Peterson.Enjoy#people,1 hour ago
Kiondra Watson,0,,,"When you are afraid of something happening, by the law you attract it, although fortunately it takes real focus and persistent fear to bring it to you. The amount of emotion you invest in not wanting something to happen is powerful. At the same time it is also impossible to bring what you want when you hold so much fear about the outcome you don't want.Remove your personal investment of fear from what you don't want to happen, and now use that powerful energy and direct it to what you want.No matter what you have been thinking or feeling, your power to create somethings new is NOW.#thesecret",1 hour ago
Services Design Solution (SDS),4,,,"With over 84.1% of women experiencing menstrual issues at some point in their life, it is important to be aware of the signs and symptoms and to also understand how the menstrual journey affects the female body.In recognition of Endometriosis and Ovarian Cancer Awareness Month, yesterday we hosted a women's menstrual wellbeing workshop for all our staff, with theBristol Menopause& Wellwoman Clinic.As a male-dominated industry, colleagues of all ages and genders were encouraged to join the talk to understand how they can better support the women in their lives, whether it's their partners, daughters, sisters or work colleagues.Thank you toHazel Hayden, Founder of Bristol Menopause and Wellwoman Clinic, for joining us today and providing an informative workshop on the menopause, endometriosis and female health.If you would like any further information on woman’s health please see the attached courtesy of the British Menopause Societyhttps://lnkd.in/eAaJGHMeShaun HoppinsMark PlantAlan WatsonJames LaughlinAdrian MontagueKatie WakeKate LowmanLucy B.",1 hour ago
"Nettima Watson, MBA",0,,,"Join Robert Half experts Sue Rakes, Sr. Vice President and Trevor Everitt, Vice President and Director of Permanent Placement Services as they lead the discussion “How CFOs are Dealing with the Talent Shortage and Retention Issues” with the Seattle chapter of the CFO Leadership Council.❓ Who should attend? CFO Leadership Council members, CFOs, VPs of Finance, Controllers, Directors of Finance, and other senior financial executives.❓ Why should I attend? You’ll have the opportunity to compare your own talent acquisition and retention strategies with those of your peers, as well as learn new trends and best practices to enhance your talent pipeline. Plus, you can earn 1.5 CPE credits!❓ Where and when is the event taking place? IN PERSON at Stoel Rives in Seattle or VIRTUALLY via Zoom on Thursday March 23, 7:30 – 9:15 am PT❓ What do I need to do to attend? Ask me how you can register for free! Don’t wait – limited free passes are available.You won’t want to miss this insightful and timely roundtable. Register today!",1 hour ago
Natasha Watson,2,,,"🏛 🏫  If architecture is creating space for people, should regular people be able to discuss and understand architecture?📚🔮 When architects talk about '#Excellence', '#Sustainability', '#Wellbeing', '#Liveability', '#Placemaking', '#Creativity', '#Beauty' and '#Innovation' what do they actually mean?💚🖌 Are architects' definitions embedded in#biasand#greenwashing?Please joinBuro Happoldand#ReinierDeGraaffromOMAfor a conversation about his latest book 'architect, verb.' at thePeople's History Museumon Tuesday 21st March 2023.  The event coincides with the launch of our new#urbanclabchapter... More on that very soon!Eventbrite link in the post below...For a taster, please see thisDezeenarticle on 'architect, verb.' :https://lnkd.in/eZ_6aD54Fergus AndersonLorraine LandelsGavin ThompsonEnlai HooiMei RenAndrew TabernMark Phillip",1 hour ago
Sam Watson,0,,,Sharing for my payroll network! Immediately available with a background in SaaS sales in payroll solutions.#payroll#payrollsoftware#recruitment,1 hour ago
Hexagon Manufacturing Intelligence,459,2 comments,74 reposts,"Great start to#F12023 fromRed Bull Racing & Red Bull Technology, who were clearly setting the pace through testing last weekend. They've shown they're more than ready for the#BahrainGPthis Sunday, and we're glad our inspection solutions will again be part of their success story this season 👉https://hxgn.biz/3yt87fu",
Watson Courtenay,1,,,Congratulations Shippers.  You definitely earned this honor.,1 hour ago
Watson Clark,0,,,Active engagement with healthcare professionals can help#Pharmacompanies build stronger relationships and create better#PatientOutcomes.,1 hour ago
X-Press Legal Services Group,11,,4 reposts,Just one week to go until the#BCAwards2023 where we will be presenting the award for Boutique Conveyancing Firm of the Year. We can’t wait to meet all the nominees and be part of this fantastic industry event.https://lnkd.in/dAGiz6Zm,
Devetopia,10,,15 reposts,"💄 Top 5 Test and Keep#beautyOffers 2023 🏆👉 Apply Now Here:https://lnkd.in/eMBQQpJXTest and keep products are a great way for companies to get feedback on their product or service. With this type of program, the company will send out free samples of their product to people who sign up.#beauty#beautyproducts#makeup#women#womenfashion#bodyshop#morpheus#covergirl#colourpop",
Aberdeen Inspired,0,,,"MEET THE LEVY PAYERS -LakelandLaunching our new series, MEET THE LEVY PAYERS, where we interview Levy Paying businesses to find out what they enjoy about running a business in Aberdeen and the benefits of being one of our Levy Payers.First up is John Dempster, Manager of Lakeland on Union Street, Aberdeen.Read Lakeland's MEET THE LEVY PAYERS interview here >https://lnkd.in/e3thfmqMMake sure to follow Lakeland on Facebook, Instagram and Twitter @LakelandUK for all the latest updates!More information about Levy Payers can be found here>https://lnkd.in/epE8H-w3#lakeland#meetthelevypayers#AberdeenAdrian WatsonShona ByrneInnes WalkerRoss GrantRoulè WoodKate TimperleyLisa McCormick",1 hour ago
Gavin Watson,0,,,"Take a look at one of our latest roles! Senior Account Executive / Account Manager - Fashion / Lifestyle PR, £27,000 - £38,000 per annum.A creative integrated marketing agency is searching for a PR Senior Account Executive or Account Manager to join their fast-growing, friendly team working on an exciting luxury fashion brand (menswear and womenswear) + destination/lifestyle accounts.Want to find out more? Visit our website below or email:gavin@prcrowd.co.uk",1 hour ago
Renato Ferreira Monticelli,33,,1 repost,Bomba Senoidal Certa sendo produzida para nosso cliente do ramo de Alimentos e Bebidas.Primeiro trimestre chegando ao fim e continuamos em melhoria contínua para dar o melhor atendimento possível para nossos clientes.Watson-Marlow - BrasilMasoSine Process Pumps#engenhariaindustrial#manutenção#alimentos#bebidas#atendimento,1 hour ago
Tyne Gangway (Structures) Limited,2,,,"Tyne Gangway (Structures) Limitedwill be at this year'sDPRTE 2023in Farnborough on the 29th of March.Donna WatsonandJames Russellare looking forward to engaging with suppliers and buyers at this event. If any of our contacts are attending and interested in meeting, please feel free to contact us.#DPRTE2023#ukmanufacturing#supplychain",1 hour ago
Vaculug Limited,5,,,"We were delighted to deliver a Tyre Awareness Workshop withSUEZ UKyesterday.Chris Watson,Peter Roffey&Robert Baxteradvised best practice when it comes to fitting and inflating tyres, as well as signs of tyre wear and damage. L-RChris Watson, Gavin Blair (Suez), Tom Mcgloin (Suez), Rajesh Kumar Nagarajan (Suez),Robert Baxter&Peter Roffey#tyreawareness#sustainablethinking#offtheroad#otr#tyres#retread#wastesites#industrial#earthmover#workingtogether#healthandsafety",1 hour ago
Kiondra Watson,0,,,Word of the day:Hillock (HIL-ək)A small hill or mound.Try using it in a sentence today!#wordoftheday,1 hour ago
Odette Jack,10,8 comments,,"‘Be the woman that that fixes another woman’s crown without telling the world it was crooked’.  Before the last couple of days I have totally forgotten I even had a crown.  Being a part of the Women in Higher Education Career Acceleration Program I met the most amazing set of women I didn’t even know exist in the same institution that I work at.  Before this programme my aim was invisibility - get in to work, do my thing, get out.  It worked perfectly fine until I realised I was completely lost and was going nowhere (professionally) fast.The last couple of days have taught me the importance of visibility, self-accountability, self-awareness, emotional-intelligence, love of self (the list is endless).  Thank youWHEN: Women's Higher Education Network.  I am actually thinking about myself again - the first time in a very long time.  I am thinking about what I want to do and who I want to be when I grow up, annihilating that invisibility cloak, overcoming my social anxieties and allowing myself to be supported instead of always being the one supporting everyone else.Kate Faxen- my new spirit animal…I felt so drawn to you - it was as though our spirit have known each other in another life - thank you for being awesome.ToMarcia Hazzard  Dr Hon. DBA MSc Chartered FCIPDMiriam LynnEllie Rich-PooleRebekah WatsonJenny RamplingYou are all such an inspiration, thank you for sharing yourselves with us, for the love and support and most importantly, for igniting that spark (for some) or blazing that fire (for others) in our belly- we appreciate you.  Women supporting and appreciating each other, this is my happy place.AndJenny RamplingI WILL write that love letter to myself - I NEED to.To the phenomenal women atLondon Metropolitan University- where have you been all my life? Oh never mind, I am glad I’ve found you.  Let us continue to support and encourage each other’s professional and personal growth.  Iron sharpens Iron…let’s get this!!Joanna BabiczUna FairbrotherEbonie WilsonNadia RahabHannah AldwinckleRuqia OsmanCassandra TerryVictoria AllisonVanessa AirthPreetpal KainthCarmen WilliamsAmaechi Akpene (nee Echedolu)and the others that were with us yesterday",1 hour ago
Kiondra Watson,0,,,Word of the day:Hillock (HIL-ək)A small hill or mound.Try using it in a sentence today!#wordoftheday,1 hour ago
Odette Jack,10,8 comments,,"‘Be the woman that that fixes another woman’s crown without telling the world it was crooked’.  Before the last couple of days I have totally forgotten I even had a crown.  Being a part of the Women in Higher Education Career Acceleration Program I met the most amazing set of women I didn’t even know exist in the same institution that I work at.  Before this programme my aim was invisibility - get in to work, do my thing, get out.  It worked perfectly fine until I realised I was completely lost and was going nowhere (professionally) fast.The last couple of days have taught me the importance of visibility, self-accountability, self-awareness, emotional-intelligence, love of self (the list is endless).  Thank youWHEN: Women's Higher Education Network.  I am actually thinking about myself again - the first time in a very long time.  I am thinking about what I want to do and who I want to be when I grow up, annihilating that invisibility cloak, overcoming my social anxieties and allowing myself to be supported instead of always being the one supporting everyone else.Kate Faxen- my new spirit animal…I felt so drawn to you - it was as though our spirit have known each other in another life - thank you for being awesome.ToMarcia Hazzard  Dr Hon. DBA MSc Chartered FCIPDMiriam LynnEllie Rich-PooleRebekah WatsonJenny RamplingYou are all such an inspiration, thank you for sharing yourselves with us, for the love and support and most importantly, for igniting that spark (for some) or blazing that fire (for others) in our belly- we appreciate you.  Women supporting and appreciating each other, this is my happy place.AndJenny RamplingI WILL write that love letter to myself - I NEED to.To the phenomenal women atLondon Metropolitan University- where have you been all my life? Oh never mind, I am glad I’ve found you.  Let us continue to support and encourage each other’s professional and personal growth.  Iron sharpens Iron…let’s get this!!Joanna BabiczUna FairbrotherEbonie WilsonNadia RahabHannah AldwinckleRuqia OsmanCassandra TerryVictoria AllisonVanessa AirthPreetpal KainthCarmen WilliamsAmaechi Akpene (nee Echedolu)and the others that were with us yesterday",1 hour ago
"NNW, INC.",1,,1 repost,"Join NNW at the biggest decom conference in the GOM. This is your last chance to save $200 on registration before this Friday’s deadline -https://lnkd.in/gjSA7b4dWe are sponsoring D&A GOM 2023 (The Westin Galleria, Houston, April 19-20) which currently has over 300 confirmed attendees, so I hope to see you there!If you need any further information, reach out to Joseph Watson onjoseph@offsnet.com#decommissioning#abandonment#oilandgas#wells#offshore#network#energytransition",1 hour ago
The Daily Sales,"5,037",66 comments,871 reposts,,
Laura W.,12,3 comments,2 reposts,"There is little you can't achieve as a volunteer. Even more so, when dedicated, talented, generous individuals find joy in giving their time to the encouragement and inspiration of others and especially to young people.When I started out in#speechwriting, I couldn't have imagined learning from a line up like this without a massive paywall.It is with great thanks toHumanity in ActionAlfred Landecker FoundationUniversity of StirlingFaculty of Arts & Humanities, EmployabilityCharlotte Street PartnersNewsdirectand in particular down to the hours of work put in byElaine Knox WatsonandSharron Jackthat the inaugural Scottish Festival of Political Communication#ScotFestStirlingwill take place for students of University of Stirling and political staffers of the Scottish Parliament this year.Stirling looks forward to welcoming former First Minister Lord Jack McConnell,Malcolm RobertsonKirsty Peebles Chart.PRCatriona MathesonAssa Samaké-RomanJunaid AshrafGerald RichardsRodger EvansNasim Forootan, MScMartin WhitfieldMSPDr Vanessa CollingridgeClare EnglishTosin Ogunlesi MSc CSMRachel AmeryandZahra Hedgesto set new precedents in demystifying lesser known political career opportunities and to inspire new talent to consider taking up the meaningful and fulfilling work that will contribute to a renaissance in ethical and inclusive political communication.#democracy#diversity#employabilityLet's begin!",1 hour ago
Richard Watson,1,,,Massagem em empresas é considerado um serviço indispensável por quem já experimentou. Marque uma reunião connosco e experimente este serviço na sua empresa.#massagem#terapeuta#burnout#stress,1 hour ago
"Robin Lansman D.O. AHP, MIHPE",1,,1 repost,Working from home can mean less natual opportunities to exercise...like commuting.#opportunities#workingfromhome#commutingBBC News,
Watson Smith,0,,,Always bloom where you’re planted….,1 hour ago
Matt Roads,4,2 comments,,I’m happy to share that I’m starting a new position as Architectural Designer atPascall+Watson!,1 hour ago
Forbes,"3,350",57 comments,546 reposts,"Managers have a greater impact on employees' mental health than even their therapist or doctor, according to a recent study.",
"Dr Michael Craig Watson BSc (Hons), PGCE, MA(Ed), MPH, PhD, MIHPE",0,,,Latest Health Promotion Newsletter>>Migrant Health>>>>legislation>>Health and Social Care Prevention Inquiry>>>Inequalities>>>>E-Cigarettes>>>>>>>https://lnkd.in/eChsNrss,1 hour ago
Watson Farley & Williams,13,,,"It was a pleasure to participate in theLetExpofair last week! Head of our Italian Offices and PartnerEugenio Tranchino, Labour PartnerGiuseppe Bulgarini d'Elciand Real Estate CounselAlessia Giaccariheld workshops discussing environmental and building sustainability, what tools companies have to face environmental, social and governance challenges and how sustainability impacts reputations.To watch an excerpt of Eugenio's interview, click here:https://lnkd.in/eJNBeUDzIt was great to see high-level figures from the energy, logistics and infrastructure sectors, such asCEVA Logistics,Logista Italia, Snam4Mobility and government representatives such as the Deputy Prime Minister and Minister of Infrastructure and Transport, Minister of the Interior, Deputy Minister for the Environment and Energy Security among others at the fair.A huge thanks toALIS - Associazione Logistica dell'Intermodalità Sostenibilefor inviting us.#WFW#ESG#Logistics#Transport#LetExpo2023",1 hour ago
Dalton Watson Fine Books,0,,,"""The Best Car in the World"" --take a deep dive into the the many strands of promotion that Rolls-Royce used, from publicity for wins in races and trials, through advertising in important magazines and influential newspapers, to beautifully produced pamphlets and catalogues in ""Making A Marque: Rolls-Royce Motor Car Promotion 1904-1940"".#rollsroyce#vintagecars#advertisinghttps://lnkd.in/e_97a6r",1 hour ago
WTW,0,,,"I Coromatic er APV’en mere end et skuffedokument – ledelsen bruger resultaterne fra undersøgelsen aktivt, fordi de har et mål om at forbedre medarbejdernes sundhed og trivselhttp://ow.ly/JQkt50NiQeA#APV#Coromatic#wtwdanmark",1 hour ago
Calvin Watson,1,,,When the high-octane world of motorsport meets the glitz and glamour Monaco! 🥂#MonacoGP#Formula1,1 hour ago
Susan Watson,0,,,"I used to have a fear of what people thought of me, particularly around my career.I've had a few!Then I realised that I was an entrepreneur and have accepted that.  As an entrepreneur, I won't do the same thing every dayI won't do the same business every dayAt present, I  have a number of businesses ...Join me today to find out more about what I'm doing and how I surrendered to the Universe's plan ...https://fb.me/e/48utaomeU#career#business",1 hour ago
Unitrunk Limited,54,2 comments,8 reposts,"For over 60 years, innovation has been integral to everything we do here at Unitrunk, from product design, to process management, to planning for a sustainable future.Find out more from our Engineering Manager,Mark Cartmillbelow.#innovation#robotics#automation#engineering",
Nigel Reeves DipFA,1,,15 reposts,"From Annuities to Defined Benefits, Drawdown to Final Salary, the world of pensions can seem confusing.Our A-Z guide of pensions is aimed to help you understand the technical terms used by Advisers and pension providers alike.Download our guide and get to grips with the complex jargon that is often spouted in the world of finance 👉bit.ly/3ymccSq#Pensions#Retirement#RetirementPlanning#Investments#Finance#Advice",
"David ""Doc"" Watson",0,,,5 Simple Tips for Boosting Your Social Media Engagement. Want to increase your social media engagement? Check out these 5 easy tips for boosting your reach and interactions with your audience.#socialmedia#engagement#marketingtips,1 hour ago
Nigel Reeves DipFA,1,,15 reposts,"From Annuities to Defined Benefits, Drawdown to Final Salary, the world of pensions can seem confusing.Our A-Z guide of pensions is aimed to help you understand the technical terms used by Advisers and pension providers alike.Download our guide and get to grips with the complex jargon that is often spouted in the world of finance 👉bit.ly/3ymccSq#Pensions#Retirement#RetirementPlanning#Investments#Finance#Advice",
"David ""Doc"" Watson",0,,,5 Simple Tips for Boosting Your Social Media Engagement. Want to increase your social media engagement? Check out these 5 easy tips for boosting your reach and interactions with your audience.#socialmedia#engagement#marketingtips,1 hour ago
